Series Name,Series Code,Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
CO2 emissions (kt),EN.ATM.CO2E.KT,Austria,AUT,30821.135,31862.563,33905.082,36992.696,38943.54,38188.138,39258.902,39966.633,42350.183,44693.396,50692.608,52155.741,56193.108,60164.469,57469.224,54392.611,58415.31,56218.777,57483.892,61594.599,52306.088,56130.769,53868.23,51983.392,54550.292,54700.639,54080.916,57744.249,53340.182,54117.586,57685.577,61605.6,56658.817,57102.524,57054.853,59783.101,63178.743,62658.029,63662.787,61869.624,62283.995,65888.656,67073.097,72195.896,72390.247,74216.413,72162.893,69735.339,69027.608,62731.369,67502.136,65019.577,62272.994,62485.68,58712.337,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Azerbaijan,AZE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,56240.779,48452.071,41976.149,33333.03,31257.508,29809.043,31675.546,28576.931,29508.349,28771.282,29614.692,30615.783,32089.917,34337.788,39167.227,30509.44,35503.894,31902.9,30678.122,33446.707,35555.232,35643.24,37487.741,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,"Bahamas, The",BHS,410.704,546.383,726.066,707.731,1085.432,1316.453,1092.766,1705.155,1631.815,1745.492,2574.234,6732.612,6490.59,7873.049,7389.005,8254.417,6464.921,9717.55,6607.934,6930.63,7990.393,2801.588,2262.539,2016.85,1855.502,1510.804,1411.795,1422.796,1540.14,1947.177,1950.844,1782.162,1793.163,1701.488,1686.82,1683.153,1668.485,1364.124,1679.486,1675.819,1668.485,1569.476,1576.81,1518.138,1723.49,1741.825,1664.818,1690.487,1496.136,1642.816,1653.817,1866.503,1969.179,2801.588,2416.553,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Bahrain,BHR,575.719,1771.161,1591.478,1195.442,1598.812,1228.445,649.059,1004.758,1103.767,1272.449,2592.569,3039.943,3681.668,5522.502,5405.158,5753.523,6574.931,7469.679,7766.706,8133.406,7887.717,8525.775,9838.561,8228.748,9207.837,10194.26,11012.001,11430.039,12163.439,11738.067,12427.463,11877.413,10901.991,14642.331,14789.011,14818.347,15621.42,17319.241,18404.673,18019.638,18643.028,13927.266,15698.427,16468.497,17509.925,19207.746,18830.045,26846.107,29768.706,28217.565,29266.327,28650.271,26673.758,31312.513,31338.182,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Bangladesh,BGD,..,..,..,..,..,..,..,..,..,..,..,..,3509.319,4554.414,4660.757,4869.776,5570.173,5812.195,6017.547,6648.271,7638.361,7931.721,8599.115,8236.082,9123.496,10234.597,11463.042,11862.745,13545.898,13454.223,15533.412,15940.449,17748.28,17407.249,18969.391,22816.074,24029.851,25063.945,24048.186,25236.294,27869.2,32456.617,33707.064,35672.576,37704.094,39478.922,43541.958,44381.701,49511.834,53736.218,59937.115,63413.431,67505.803,69709.67,73189.653,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Barbados,BRB,172.349,194.351,260.357,190.684,179.683,205.352,267.691,337.364,440.04,480.377,429.039,484.044,502.379,480.377,491.378,568.385,531.715,590.387,630.724,601.388,674.728,685.729,645.392,685.729,748.068,847.077,916.75,942.419,946.086,990.09,1074.431,1206.443,979.089,1114.768,748.068,828.742,850.744,902.082,1140.437,1210.11,1188.108,1221.111,1228.445,1268.782,1294.451,1353.123,1371.458,1364.124,1620.814,1617.147,1477.801,1529.139,1470.467,1448.465,1272.449,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Belarus,BLR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,87417.613,76768.645,65056.247,60773.191,60164.469,59555.747,58099.948,56112.434,53787.556,52760.796,52405.097,53530.866,58158.62,59167.045,62071.309,60523.835,63105.403,61220.565,63043.064,64062.49,63222.747,63769.13,63497.772,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Belgium,BEL,91000.272,92793.435,98117.919,105781.949,103662.423,105440.918,105206.23,107472.436,118557.777,123618.237,125620.419,121528.047,130834.893,138872.957,135220.625,122100.099,130009.818,126570.172,135855.016,140233.414,135301.299,124021.607,117553.019,101630.905,105422.583,104472.83,102874.018,103116.04,100354.789,107461.435,106049.64,110959.753,111968.178,107652.119,112334.878,112327.544,118059.065,115341.818,118374.427,114260.053,115118.131,114527.744,107311.088,112914.264,111102.766,108510.197,107072.733,103545.079,104443.494,99863.411,110824.074,99944.085,95107.312,96970.148,93350.819,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Belize,BLZ,44.004,36.67,69.673,62.339,84.341,84.341,80.674,121.011,102.676,135.679,121.011,143.013,157.681,146.68,154.014,176.016,176.016,198.018,216.353,209.019,190.684,183.35,172.349,172.349,172.349,190.684,205.352,227.354,249.356,300.694,311.695,359.366,355.699,377.701,374.034,377.701,308.028,388.702,370.367,348.365,396.036,447.374,432.706,432.706,392.369,421.705,443.707,476.71,436.373,586.72,539.049,601.388,476.71,513.38,495.045,..,..,..,..,..
CO2 emissions (kt),EN.ATM.CO2E.KT,Benin,BEN,161.348,128.345,135.679,121.011,143.013,150.347,113.677,143.013,154.014,201.685,282.359,293.36,388.702,381.368,407.037,443.707,260.357,297.027,363.033,366.7,517.047,429.039,491.378,454.708,502.379,744.401,685.729,539.049,553.717,630.724,707.731,821.408,898.415,1133.103,1265.115,1327.454,1265.115,1217.444,1213.777,1562.142,1598.812,1815.165,2079.189,2354.214,2508.228,2394.551,3872.352,4495.742,4411.401,4660.757,5089.796,5295.148,5471.164,5812.195,6318.241,..,..,..,..,..
